row_id,Game Name,Discount,Price,Rating,Release Date
107,Inscryption,-60%,"R$ 19,99",95.54%,Oct 2021
108,Brotato,-40%,"R$ 10,19",95.32%,Jun 2023
109,LIZARDS MUST DIE,-50%,"R$ 3,49",94.60%,Sep 2023
110,Maitetsu:Last Run!!,-51%,"R$ 58,79",94.53%,Oct 2020
111,Alba: A Wildlife Adventure,-75%,"R$ 13,12",94.41%,Dec 2020
112,Resident Evil Village,-60%,"R$ 55,96",94.24%,May 2021
113,Unheard - Voices of Crime,-60%,"R$ 9,20",94.22%,Mar 2019
114,Your Turn To Die -Death Game By Majority-,-20%,"R$ 41,99",94.06%,Feb 2023
115,Metal: Hellsinger,-67%,"R$ 26,09",93.57%,Sep 2022
116,Game Dev Tycoon,-75%,"R$ 7,49",93.50%,Aug 2013
117,Mirage Feathers,-10%,"R$ 15,29",93.45%,Sep 2024
118,NUKITASHI 2,-30%,"R$ 51,79",93.39%,Feb 2024
119,Insaniquarium Deluxe,-80%,"R$ 1,98",93.36%,Aug 2006
120,Endless Monday: Dreams and Deadlines,-30%,"R$ 23,09",93.36%,May 2023
121,Chop Goblins,-50%,"R$ 5,44",93.35%,Dec 2022
122,The Rewinder,-50%,"R$ 20,99",93.16%,Sep 2021
123,LISA: The Painful,-40%,"R$ 35,99",93.10%,Dec 2014
124,Anomaly Agent,-50%,"R$ 14,99",92.89%,Jan 2024
125,CATO: Buttered Cat,-10%,"R$ 32,21",92.82%,Sep 2024
126,Snufkin: Melody of Moominvalley,-20%,"R$ 47,99",92.79%,Mar 2024
127,I Was a Teenage Exocolonist,-50%,"R$ 36,99",92.77%,Aug 2022
128,Coffee Talk Episode 2: Hibiscus & Butterfly,-30%,"R$ 32,89",92.69%,Apr 2023
129,Thank Goodness You're Here!,-20%,"R$ 40,00",92.64%,Aug 2024
130,Feeding Frenzy 2 Deluxe,-80%,"R$ 1,98",92.57%,Aug 2006
131,PARANORMASIGHT: The Seven Mysteries of Honjo,-40%,"R$ 54,00",92.22%,Mar 2023
132,Minds Beneath Us,-10%,"R$ 53,99",92.15%,Jul 2024
133,恋爱绮谭 不存在的真相,-33%,"R$ 18,68",92.05%,Oct 2022
134,Bloodstained: Ritual of the Night,-75%,"R$ 18,87",92.04%,Jun 2019
135,Tetris® Effect: Connected,-50%,"R$ 37,74",91.98%,Aug 2021
136,Dungeons 3,-76%,"R$ 25,33",91.97%,Oct 2017
137,Laughing to Die,-20%,"R$ 13,59",91.90%,Apr 2024
138,Supermarket Simulator,-30%,"R$ 27,99",91.71%,Feb 2024
139,Resident Evil 4 (2005),-75%,"R$ 9,99",91.62%,Feb 2014
140,NUKITASHI,-30%,"R$ 51,79",91.62%,Jun 2023
141,FATE,-50%,"R$ 8,29",91.60%,May 2005
142,Draw Puzzle 画之谜,-65%,"R$ 3,67",91.51%,Aug 2017
143,Our Adventurer Guild,-30%,"R$ 32,89",91.37%,Apr 2024
144,The Great Ace Attorney Chronicles,-60%,"R$ 47,99",91.20%,Jul 2021
145,暖雪 Warm Snow,-30%,"R$ 36,39",91.17%,Jan 2022
146,恋爱绮谭~不存在的夏天~,-50%,"R$ 9,29",91.15%,Oct 2020
